id,label
10009,airplane
10011,airplane
10021,airplane
10025,airplane
10032,airplane
10044,airplane
10051,airplane
10062,airplane
10065,airplane
10116,airplane
10125,airplane
1013,airplane
10131,airplane
10142,airplane
10147,airplane
10149,airplane
10152,airplane
10160,airplane
10198,airplane
10203,airplane
10206,airplane
10213,airplane
10216,airplane
10244,airplane
10266,airplane
10267,airplane
10268,airplane
10276,airplane
10298,airplane
10302,airplane
10324,airplane
10327,airplane
10331,airplane
10333,airplane
10335,airplane
10339,airplane
10341,airplane
10344,airplane
10354,airplane
10356,airplane
10366,airplane
10395,airplane
1040,airplane
10400,airplane
10402,airplane
10426,airplane
1045,airplane
10456,airplane
10471,airplane
10487,airplane
10488,airplane
10494,airplane
10500,airplane
10514,airplane
10517,airplane
10527,airplane
10546,airplane
10549,airplane
10554,airplane
10575,airplane
10578,airplane
10579,airplane
10590,airplane
10602,airplane
10608,airplane
10618,airplane
10638,airplane
10651,airplane
10657,airplane
10668,airplane
10675,airplane
10676,airplane
10682,airplane
10687,airplane
10690,airplane
10691,airplane
10714,airplane
10717,airplane
10730,airplane
10733,airplane
10742,airplane
10762,airplane
10765,airplane
10777,airplane
10778,airplane
10783,airplane
10788,airplane
10797,airplane
10799,airplane
10805,airplane
10812,airplane
10813,airplane
10848,airplane
10856,airplane
10868,airplane
1087,airplane
10873,airplane
10894,airplane
10897,airplane
10912,airplane
100,automobile
10001,automobile
10023,automobile
10036,automobile
10040,automobile
10050,automobile
10055,automobile
1007,automobile
10075,automobile
10080,automobile
10091,automobile
10101,automobile
10108,automobile
10111,automobile
10113,automobile
10123,automobile
10134,automobile
10146,automobile
10154,automobile
10158,automobile
10169,automobile
10170,automobile
10189,automobile
10191,automobile
1021,automobile
1022,automobile
10230,automobile
10237,automobile
10249,automobile
10250,automobile
10252,automobile
10272,automobile
10277,automobile
10293,automobile
10299,automobile
1030,automobile
10315,automobile
10326,automobile
10353,automobile
10360,automobile
10363,automobile
10364,automobile
10371,automobile
10378,automobile
1038,automobile
10381,automobile
10388,automobile
10394,automobile
10404,automobile
10421,automobile
10447,automobile
10451,automobile
10454,automobile
10459,automobile
10477,automobile
10480,automobile
10492,automobile
10496,automobile
10523,automobile
1053,automobile
10532,automobile
10536,automobile
10545,automobile
10565,automobile
10569,automobile
10570,automobile
10572,automobile
10577,automobile
106,automobile
10615,automobile
10628,automobile
10631,automobile
10643,automobile
10645,automobile
10649,automobile
1065,automobile
10653,automobile
10656,automobile
10679,automobile
10680,automobile
1069,automobile
10694,automobile
10712,automobile
10715,automobile
10748,automobile
10749,automobile
10756,automobile
10772,automobile
10791,automobile
10796,automobile
10798,automobile
1080,automobile
10820,automobile
10825,automobile
10827,automobile
10833,automobile
10840,automobile
10847,automobile
10869,automobile
10883,automobile
10019,bird
10028,bird
1004,bird
10058,bird
10084,bird
1009,bird
10090,bird
10094,bird
1010,bird
10153,bird
10156,bird
10161,bird
10181,bird
10205,bird
10218,bird
10241,bird
10242,bird
1025,bird
10264,bird
10281,bird
10290,bird
10361,bird
10379,bird
10390,bird
10392,bird
10397,bird
10399,bird
10407,bird
1041,bird
10410,bird
10413,bird
10418,bird
10429,bird
10434,bird
10437,bird
10439,bird
10441,bird
10458,bird
10462,bird
10470,bird
10475,bird
10481,bird
10499,bird
10506,bird
1051,bird
10513,bird
10568,bird
10583,bird
10589,bird
10592,bird
10595,bird
10609,bird
10613,bird
10617,bird
10625,bird
10629,bird
10652,bird
1066,bird
10661,bird
10672,bird
1068,bird
10684,bird
10701,bird
10726,bird
10743,bird
10751,bird
10757,bird
10768,bird
1078,bird
10802,bird
10803,bird
10808,bird
10834,bird
10843,bird
1085,bird
10861,bird
10867,bird
10886,bird
10899,bird
109,bird
10902,bird
10927,bird
10934,bird
10936,bird
10941,bird
10945,bird
10960,bird
10969,bird
10977,bird
10992,bird
11004,bird
11007,bird
11013,bird
11016,bird
11018,bird
11031,bird
11036,bird
11051,bird
1108,bird
11085,bird
10,cat
10006,cat
10012,cat
10018,cat
10022,cat
1003,cat
10045,cat
10049,cat
10067,cat
10071,cat
10086,cat
10102,cat
1011,cat
10126,cat
10127,cat
10136,cat
10138,cat
10144,cat
10178,cat
10183,cat
10187,cat
10190,cat
10193,cat
10194,cat
102,cat
10210,cat
10245,cat
10255,cat
10256,cat
1026,cat
10294,cat
10305,cat
1031,cat
10311,cat
10321,cat
10322,cat
10323,cat
10330,cat
10342,cat
10384,cat
10415,cat
10419,cat
1042,cat
10428,cat
10431,cat
10440,cat
10442,cat
10453,cat
10455,cat
10463,cat
10464,cat
10465,cat
10469,cat
10489,cat
1049,cat
10493,cat
10502,cat
10507,cat
10509,cat
10519,cat
10528,cat
10535,cat
10558,cat
10559,cat
1056,cat
10566,cat
10576,cat
1058,cat
10588,cat
10596,cat
1060,cat
10612,cat
10619,cat
10620,cat
10635,cat
10654,cat
10706,cat
1071,cat
10723,cat
10732,cat
10746,cat
10747,cat
1075,cat
10750,cat
10753,cat
10754,cat
1077,cat
10771,cat
10785,cat
10789,cat
10810,cat
10815,cat
10826,cat
10844,cat
10855,cat
10858,cat
10870,cat
10871,cat
10884,cat
10919,cat
10007,deer
10016,deer
1002,deer
10024,deer
10033,deer
10047,deer
1005,deer
10052,deer
10056,deer
1006,deer
10060,deer
10063,deer
10068,deer
10077,deer
1008,deer
10087,deer
10106,deer
10117,deer
10132,deer
10135,deer
10137,deer
10151,deer
10155,deer
10167,deer
10168,deer
10175,deer
10180,deer
1019,deer
10197,deer
10208,deer
10211,deer
10223,deer
10225,deer
1023,deer
10238,deer
10240,deer
10248,deer
10251,deer
10263,deer
10265,deer
10283,deer
10297,deer
10300,deer
10301,deer
10304,deer
10336,deer
10351,deer
10368,deer
10373,deer
10386,deer
10393,deer
10405,deer
10416,deer
10420,deer
10427,deer
10448,deer
10452,deer
10473,deer
10478,deer
10479,deer
10486,deer
10490,deer
10501,deer
10520,deer
10526,deer
10537,deer
10540,deer
10562,deer
10571,deer
10593,deer
10594,deer
10605,deer
10606,deer
10610,deer
10616,deer
10630,deer
10634,deer
10641,deer
10642,deer
10655,deer
10662,deer
10695,deer
10698,deer
1070,deer
10700,deer
10702,deer
10707,deer
10708,deer
10720,deer
10721,deer
10729,deer
10737,deer
10766,deer
10767,deer
10809,deer
10835,deer
10839,deer
10850,deer
10852,deer
10862,deer
1000,dog
10000,dog
10015,dog
10034,dog
10061,dog
10073,dog
10083,dog
10092,dog
10105,dog
10120,dog
1016,dog
10176,dog
10182,dog
10195,dog
10202,dog
10207,dog
10222,dog
10224,dog
10231,dog
10243,dog
10259,dog
10271,dog
10295,dog
10316,dog
10319,dog
10320,dog
10325,dog
1034,dog
10367,dog
10383,dog
10398,dog
10408,dog
10411,dog
10414,dog
10424,dog
10425,dog
10430,dog
10433,dog
10472,dog
10483,dog
10485,dog
10504,dog
10510,dog
10515,dog
10516,dog
10522,dog
10542,dog
10543,dog
10550,dog
10556,dog
10557,dog
10567,dog
10587,dog
10598,dog
10600,dog
10604,dog
1062,dog
10633,dog
10658,dog
10669,dog
1067,dog
10670,dog
10671,dog
10692,dog
10693,dog
10697,dog
10704,dog
10710,dog
10711,dog
10716,dog
10725,dog
10727,dog
1073,dog
10738,dog
10740,dog
10741,dog
10745,dog
10759,dog
10760,dog
10761,dog
10769,dog
10781,dog
108,dog
10801,dog
10804,dog
1082,dog
10821,dog
10832,dog
10836,dog
10845,dog
10863,dog
10864,dog
10879,dog
10881,dog
1089,dog
10898,dog
10908,dog
10915,dog
1092,dog
10922,dog
1,frog
10002,frog
10003,frog
10008,frog
10010,frog
10013,frog
10014,frog
10020,frog
10026,frog
10027,frog
10030,frog
10037,frog
10053,frog
10054,frog
10059,frog
10064,frog
10098,frog
10109,frog
10110,frog
10112,frog
10114,frog
10118,frog
10129,frog
1014,frog
10166,frog
1017,frog
10174,frog
10177,frog
1018,frog
10184,frog
10196,frog
10200,frog
10201,frog
10204,frog
10212,frog
10214,frog
10219,frog
10221,frog
10228,frog
10239,frog
1024,frog
10254,frog
10257,frog
10261,frog
10274,frog
1028,frog
10312,frog
1032,frog
10328,frog
10346,frog
10350,frog
10357,frog
10358,frog
1036,frog
10365,frog
10375,frog
10380,frog
1039,frog
104,frog
10401,frog
10432,frog
10445,frog
10461,frog
1048,frog
105,frog
10511,frog
10518,frog
1052,frog
10533,frog
1054,frog
10551,frog
10552,frog
10555,frog
10564,frog
10580,frog
10597,frog
10601,frog
10632,frog
10636,frog
10637,frog
1064,frog
10648,frog
10650,frog
10666,frog
10677,frog
10705,frog
10719,frog
10734,frog
10739,frog
10758,frog
10775,frog
10784,frog
10787,frog
10793,frog
10795,frog
10816,frog
10822,frog
10829,frog
10838,frog
10842,frog
10029,horse
10035,horse
10038,horse
10041,horse
10042,horse
10046,horse
10048,horse
10074,horse
10078,horse
10082,horse
10085,horse
10095,horse
10107,horse
10115,horse
10122,horse
10128,horse
10133,horse
10141,horse
10157,horse
10159,horse
10163,horse
10171,horse
10185,horse
10186,horse
1020,horse
10215,horse
10217,horse
10226,horse
10227,horse
10233,horse
10236,horse
10260,horse
10270,horse
10275,horse
10278,horse
10279,horse
10282,horse
10296,horse
10306,horse
10308,horse
10309,horse
10329,horse
10334,horse
10340,horse
10348,horse
10349,horse
10359,horse
10369,horse
10372,horse
10385,horse
10387,horse
10423,horse
1043,horse
10436,horse
10450,horse
10460,horse
10466,horse
10467,horse
1047,horse
10482,horse
10491,horse
10497,horse
10503,horse
10508,horse
10529,horse
10530,horse
10539,horse
10541,horse
10547,horse
10548,horse
1055,horse
10553,horse
10561,horse
10563,horse
10574,horse
10581,horse
10584,horse
10585,horse
10599,horse
10603,horse
10622,horse
10624,horse
10644,horse
10667,horse
10673,horse
10685,horse
10686,horse
10688,horse
10696,horse
10713,horse
1072,horse
10728,horse
10731,horse
10735,horse
10736,horse
10755,horse
10773,horse
10779,horse
10780,horse
10790,horse
10004,ship
10005,ship
10017,ship
10043,ship
10066,ship
10069,ship
10070,ship
10088,ship
10089,ship
10096,ship
10097,ship
10099,ship
101,ship
10100,ship
10103,ship
10104,ship
1012,ship
10121,ship
10140,ship
10143,ship
10148,ship
1015,ship
10165,ship
10172,ship
10173,ship
10192,ship
10229,ship
10234,ship
10235,ship
10246,ship
10269,ship
10273,ship
10280,ship
10284,ship
10285,ship
10287,ship
10289,ship
10291,ship
10303,ship
10314,ship
10318,ship
1033,ship
10337,ship
10338,ship
10345,ship
10347,ship
10355,ship
10362,ship
1037,ship
10370,ship
10377,ship
10382,ship
10396,ship
10403,ship
10409,ship
10412,ship
10417,ship
10435,ship
10438,ship
10443,ship
10444,ship
10446,ship
10457,ship
10476,ship
10484,ship
10512,ship
10525,ship
10531,ship
10538,ship
10544,ship
1057,ship
10573,ship
10586,ship
1059,ship
10607,ship
1061,ship
10611,ship
10614,ship
10621,ship
10626,ship
10639,ship
10640,ship
10646,ship
10647,ship
10664,ship
10665,ship
10674,ship
10678,ship
10681,ship
10683,ship
10689,ship
107,ship
10703,ship
10709,ship
10722,ship
10764,ship
10774,ship
10776,ship
10786,ship
10806,ship
1001,truck
10031,truck
10039,truck
10057,truck
10072,truck
10076,truck
10079,truck
10081,truck
10093,truck
10119,truck
10124,truck
10130,truck
10139,truck
10145,truck
10150,truck
10162,truck
10164,truck
10179,truck
10188,truck
10199,truck
10209,truck
10220,truck
10232,truck
10247,truck
10253,truck
10258,truck
10262,truck
1027,truck
10286,truck
10288,truck
1029,truck
10292,truck
103,truck
10307,truck
10310,truck
10313,truck
10317,truck
10332,truck
10343,truck
1035,truck
10352,truck
10374,truck
10376,truck
10389,truck
10391,truck
10406,truck
10422,truck
1044,truck
10449,truck
1046,truck
10468,truck
10474,truck
10495,truck
10498,truck
1050,truck
10505,truck
10521,truck
10524,truck
10534,truck
10560,truck
10582,truck
10591,truck
10623,truck
10627,truck
1063,truck
10659,truck
10660,truck
10663,truck
10699,truck
10718,truck
10724,truck
1074,truck
10744,truck
10752,truck
1076,truck
10763,truck
10770,truck
10782,truck
1079,truck
10792,truck
10794,truck
10800,truck
10807,truck
10828,truck
1083,truck
10830,truck
10831,truck
10846,truck
10851,truck
10854,truck
10860,truck
10882,truck
10895,truck
10900,truck
10916,truck
10931,truck
10935,truck
10942,truck
10944,truck
10973,truck
