,name,bit,shape,mse_before,mse_after
0,conv1,8,"torch.Size([64, 3, 7, 7])",0.555402934551239,0.09618034213781357
1,layer1.0.conv1,8,"torch.Size([64, 64, 1, 1])",0.838883101940155,0.19284842908382416
2,layer1.0.conv2,8,"torch.Size([64, 64, 3, 3])",4.41483211517334,0.19905239343643188
3,layer1.0.conv3,8,"torch.Size([256, 64, 1, 1])",0.1092686653137207,0.04255857318639755
4,layer1.0.downsample.0,8,"torch.Size([256, 64, 1, 1])",0.19845107197761536,0.0399569533765316
5,layer1.1.conv1,8,"torch.Size([64, 256, 1, 1])",1.5968425273895264,0.1626633256673813
6,layer1.1.conv2,8,"torch.Size([64, 64, 3, 3])",4.090534210205078,0.21105872094631195
7,layer1.1.conv3,8,"torch.Size([256, 64, 1, 1])",0.12377143651247025,0.04495081678032875
8,layer1.2.conv1,8,"torch.Size([64, 256, 1, 1])",1.854120135307312,0.13943374156951904
9,layer1.2.conv2,8,"torch.Size([64, 64, 3, 3])",3.6932597160339355,0.13417041301727295
