,name,bit,shape,mse_before,mse_after
0,features.0.0,8,"torch.Size([32, 3, 3, 3])",0.36410510540008545,0.2524106502532959
1,features.1.conv.0.0,8,"torch.Size([32, 1, 3, 3])",0.008459805510938168,0.008459796197712421
2,features.1.conv.1,8,"torch.Size([16, 32, 1, 1])",0.028290623798966408,0.028290623798966408
3,features.2.conv.0.0,8,"torch.Size([96, 16, 1, 1])",0.010555783286690712,0.010555783286690712
4,features.2.conv.1.0,8,"torch.Size([96, 1, 3, 3])",0.000174865301232785,0.000174865301232785
5,features.2.conv.2,8,"torch.Size([24, 96, 1, 1])",0.0011485620634630322,0.0011485620634630322
6,features.3.conv.0.0,8,"torch.Size([144, 24, 1, 1])",0.00031785917235538363,0.00031785917235538363
7,features.3.conv.1.0,8,"torch.Size([144, 1, 3, 3])",2.369657295275829e-06,2.369657295275829e-06
8,features.3.conv.2,8,"torch.Size([24, 144, 1, 1])",1.35028240038082e-05,1.35028240038082e-05
9,features.4.conv.0.0,8,"torch.Size([144, 24, 1, 1])",0.00020032508473377675,0.00020032508473377675
10,features.4.conv.1.0,8,"torch.Size([144, 1, 3, 3])",9.407219749846263e-07,9.407219749846263e-07
11,features.4.conv.2,8,"torch.Size([32, 144, 1, 1])",5.992353180772625e-06,5.992353180772625e-06
12,features.5.conv.0.0,8,"torch.Size([192, 32, 1, 1])",2.0384343315527076e-06,2.0384343315527076e-06
13,features.5.conv.1.0,8,"torch.Size([192, 1, 3, 3])",1.0390347249256138e-08,1.0390347249256138e-08
14,features.5.conv.2,8,"torch.Size([32, 192, 1, 1])",2.7763068288777504e-08,2.7763068288777504e-08
15,features.6.conv.0.0,8,"torch.Size([192, 32, 1, 1])",2.130312168446835e-06,2.130312168446835e-06
16,features.6.conv.1.0,8,"torch.Size([192, 1, 3, 3])",1.351036171826081e-08,1.351036171826081e-08
17,features.6.conv.2,8,"torch.Size([32, 192, 1, 1])",7.680331037818178e-08,7.680331037818178e-08
18,features.7.conv.0.0,8,"torch.Size([192, 32, 1, 1])",2.303617065990693e-06,2.303617065990693e-06
19,features.7.conv.1.0,8,"torch.Size([192, 1, 3, 3])",1.1619166073728593e-08,1.1619166073728593e-08
20,features.7.conv.2,8,"torch.Size([64, 192, 1, 1])",3.6689577598281176e-08,3.6689577598281176e-08
21,features.8.conv.0.0,8,"torch.Size([384, 64, 1, 1])",1.127862336858243e-08,1.127862336858243e-08
22,features.8.conv.1.0,8,"torch.Size([384, 1, 3, 3])",3.2779917669145675e-11,3.2779917669145675e-11
23,features.8.conv.2,8,"torch.Size([64, 384, 1, 1])",1.542207195281975e-10,1.542207195281975e-10
24,features.9.conv.0.0,8,"torch.Size([384, 64, 1, 1])",1.4572628437292678e-08,1.4572628437292678e-08
25,features.9.conv.1.0,8,"torch.Size([384, 1, 3, 3])",3.510908577752936e-11,3.510908577752936e-11
26,features.9.conv.2,8,"torch.Size([64, 384, 1, 1])",1.5896868543752163e-10,1.5896868543752163e-10
27,features.10.conv.0.0,8,"torch.Size([384, 64, 1, 1])",1.3986869440429928e-08,1.3986869440429928e-08
28,features.10.conv.1.0,8,"torch.Size([384, 1, 3, 3])",4.128245661982888e-11,4.128245661982888e-11
29,features.10.conv.2,8,"torch.Size([64, 384, 1, 1])",3.1179500648015335e-10,3.1179500648015335e-10
30,features.11.conv.0.0,8,"torch.Size([384, 64, 1, 1])",1.3806718435205312e-08,1.3806718435205312e-08
31,features.11.conv.1.0,8,"torch.Size([384, 1, 3, 3])",3.108553345287923e-11,3.108553345287923e-11
32,features.11.conv.2,8,"torch.Size([96, 384, 1, 1])",1.830583601369895e-10,1.830583601369895e-10
33,features.12.conv.0.0,8,"torch.Size([576, 96, 1, 1])",5.764146451814334e-11,5.764146451814334e-11
34,features.12.conv.1.0,8,"torch.Size([576, 1, 3, 3])",9.333465532564145e-14,9.333465532564145e-14
35,features.12.conv.2,8,"torch.Size([96, 576, 1, 1])",3.2723029472735143e-13,3.2723029472735143e-13
36,features.13.conv.0.0,8,"torch.Size([576, 96, 1, 1])",6.252141859786065e-11,6.252141859786065e-11
37,features.13.conv.1.0,8,"torch.Size([576, 1, 3, 3])",1.0030329025039267e-13,1.0030329025039267e-13
38,features.13.conv.2,8,"torch.Size([96, 576, 1, 1])",4.816774149679626e-13,4.816774149679626e-13
39,features.14.conv.0.0,8,"torch.Size([576, 96, 1, 1])",5.3982280451281284e-11,5.3982280451281284e-11
40,features.14.conv.1.0,8,"torch.Size([576, 1, 3, 3])",9.342538271868775e-14,9.342538271868775e-14
41,features.14.conv.2,8,"torch.Size([160, 576, 1, 1])",3.700677188734486e-13,3.700677188734486e-13
42,features.15.conv.0.0,8,"torch.Size([960, 160, 1, 1])",1.1114260824608008e-13,1.1114260824608008e-13
43,features.15.conv.1.0,8,"torch.Size([960, 1, 3, 3])",8.550644739554962e-17,8.550644739554962e-17
44,features.15.conv.2,8,"torch.Size([160, 960, 1, 1])",4.955356617256839e-16,4.955356617256839e-16
45,features.16.conv.0.0,8,"torch.Size([960, 160, 1, 1])",1.0606748498172974e-13,1.0606748498172974e-13
46,features.16.conv.1.0,8,"torch.Size([960, 1, 3, 3])",8.975301398938455e-17,8.975301398938455e-17
47,features.16.conv.2,8,"torch.Size([160, 960, 1, 1])",5.649405355720764e-16,5.649405355720764e-16
48,features.17.conv.0.0,8,"torch.Size([960, 160, 1, 1])",9.545545641897676e-14,9.545545641897676e-14
49,features.17.conv.1.0,8,"torch.Size([960, 1, 3, 3])",8.959700110841215e-17,8.959700110841215e-17
50,features.17.conv.2,8,"torch.Size([320, 960, 1, 1])",2.2577634092305814e-16,2.2577634092305814e-16
51,features.18.0,8,"torch.Size([1280, 320, 1, 1])",1.155809014357403e-16,1.155809014357403e-16
52,classifier.1,8,"torch.Size([1000, 1280])",3.5208301708344894e-18,5.503687783292577e-12
